Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Study Subject]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
TGB_050_01	TGB_050_01	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	pre-flight			L-168(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_02	TGB_050_02	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	pre-flight			L-112(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_03	TGB_050_03	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	pre-flight			L-56(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_04	TGB_050_04	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	in-flight			L+5(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_05	TGB_050_05	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	in-flight			L+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_06	TGB_050_06	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	in-flight			L+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_07	TGB_050_07	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	in-flight			L+120(±14d) or R-8(-14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_08	TGB_050_08	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	post-flight			R+3(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_09	TGB_050_09	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	post-flight			R+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_10	TGB_050_10	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	post-flight			R+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_11	TGB_050_11	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	1	post-flight			R+120(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_13	TGB_050_13	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	pre-flight			L-168(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_15	TGB_050_15	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	pre-flight			L-56(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_16	TGB_050_16	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	in-flight			L+5(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_17	TGB_050_17	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	in-flight			L+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_18	TGB_050_18	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	in-flight			L+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_19	TGB_050_19	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	in-flight			L+120(±14d) or R-8(-14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_20	TGB_050_20	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	post-flight			R+3(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_21	TGB_050_21	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	post-flight			R+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_22	TGB_050_22	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	post-flight			R+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_050_23	TGB_050_23	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	2	post-flight			R+120(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_01	TGB_051_01	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	pre-flight			L-168(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_02	TGB_051_02	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	pre-flight			L-112(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_03	TGB_051_03	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	pre-flight			L-56(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_04	TGB_051_04	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+5(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_05	TGB_051_05	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_06	TGB_051_06	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_07	TGB_051_07	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+120(±14d) or R-8(-14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
